code	Gysseling online tag	Vertaling Meertens voor CRM	Verklaring uit database		
320	NUM(type=indefinite,inflection=0)	pos=TW	onbepaald telwoord, geen uitgang	VNW(onbep,form=0)	
321	NUM(type=indefinite,inflection=e)	pos=TW,feat.form=-e	onbepaald telwoord, uitgang -e	VNW(onbep,form=-e)	
322	NUM(type=indefinite,inflection=s/th)	pos=TW,feat.form=-s/-th	onbepaald telwoord, uitgang -s/-th	VNW(onbep,form=-s/-th)	
323	NUM(type=indefinite,inflection=t)	pos=TW,feat.form=-t	onbepaald telwoord, uitgang -t	VNW(onbep,form=-t)	
324	NUM(type=indefinite,inflection=n)	pos=TW,feat.form=-n	onbepaald telwoord, uitgang -n	VNW(onbep,form=-n)	
325	NUM(type=indefinite,inflection=r/re)	pos=TW,feat.form=-r/-re	onbepaald telwoord, uitgang -r/-re	VNW(onbep,form=-r/-re)	
326	NUM(type=indefinite,inflection=a)	pos=TW,feat.form=-a	onbepaald telwoord, uitgang -a	VNW(onbep,form=-a)	
329	NUM(type=indefinite,inflection=other)	pos=TW	onbepaald telwoord, uitgang latijn, onduidelijk of evident fout geschreven	VNW(onbep,form=other)	
390	NUM(type=other,inflection=0)	pos=TW,feat.probleemgeval=true	telwoord probleemgeval, geen uitgang	TW(probleem=true,form=0)	
391	NUM(type=other,inflection=e)	pos=TW,feat.probleemgeval=true,feat.form=-e	telwoord probleemgeval, uitgang -e	TW(probleem=true,form=-e)	
392	NUM(type=other,inflection=s/th)	pos=TW,feat.probleemgeval=true,feat.form=-s/-th	telwoord probleemgeval, uitgang -s/-th	TW(probleem=true,form=-s/-th)	
393	NUM(type=other,inflection=t)	pos=TW,feat.probleemgeval=true,feat.form=-t	telwoord probleemgeval, uitgang -t	TW(probleem=true,form=-t)	
394	NUM(type=other,inflection=n)	pos=TW,feat.probleemgeval=true,feat.form=-n	telwoord probleemgeval, uitgang -n	TW(probleem=true,form=-n)	
395	NUM(type=other,inflection=r/re)	pos=TW,feat.probleemgeval=true,feat.form=-r/-re	telwoord probleemgeval, uitgang -r/-re	TW(probleem=true,form=-r/-re)	
396	NUM(type=other,inflection=a)	pos=TW,feat.probleemgeval=true,feat.form=-a	telwoord probleemgeval, uitgang -a	TW(probleem=true,form=-a)	
399	NUM(type=other,inflection=other)	pos=TW,feat.probleemgeval=true	telwoord probleemgeval, uitgang latijn, onduidelijk of evident fout geschreven	TW(probleem=true,form=other)	
401	PD(type=pers,person=1,number=sg)	pos=VNW,feat.getal=ev,feat.persoon=1	persoonlijk voornaamwoord, 1e persoon enkelvoud	VNW(pers,1,ev)	
402	PD(type=pers,person=2,number=sg)	pos=VNW,feat.getal=ev,feat.persoon=2	persoonlijk voornaamwoord, 2e persoon enkelvoud	VNW(pers,2,ev)	
403	PD(type=pers,person=3,number=sg)	pos=VNW,feat.getal=ev,feat.persoon=3	persoonlijk voornaamwoord, 3e persoon enkelvoud	VNW(pers,3,ev)	
404	PD(type=pers,person=1,number=pl)	pos=VNW,feat.getal=mv,feat.persoon=1	persoonlijk voornaamwoord, 1e persoon meervoud	VNW(pers,1,mv)	
405	PD(type=pers,person=2,number=pl)	pos=VNW,feat.getal=mv,feat.persoon=2	persoonlijk voornaamwoord, 2e persoon meervoud	VNW(pers,2,mv)	
406	PD(type=pers,person=3,number=pl)	pos=VNW,feat.getal=mv,feat.persoon=3	persoonlijk voornaamwoord, 3e persoon meervoud	VNW(pers,3,mv)	
409	PD(type=pers,other)	pos=VNW,feat.probleemgeval=true	probleemgeval	VNW(probleem=true,form=other)	
410	PD(type=dem,inflection=0)	pos=VNW,feat.vwtype=aanw	aanwijzend voornaamwoord, geen uitgang	VNW(aanw,form=0)	
411	PD(type=dem,inflection=e)	pos=VNW,feat.vwtype=aanw,feat.form=-e	aanwijzend voornaamwoord, uitgang -e	VNW(aanw,form=-e)	
412	PD(type=dem,inflection=s/th)	pos=VNW,feat.vwtype=aanw,feat.form=-s/-th	aanwijzend voornaamwoord, uitgang -s/-th	VNW(aanw,form=-s/-th)	
413	PD(type=dem,inflection=t)	pos=VNW,feat.vwtype=aanw,feat.form=-t	aanwijzend voornaamwoord, uitgang -t	VNW(aanw,form=-t)	
414	PD(type=dem,inflection=n)	pos=VNW,feat.vwtype=aanw,feat.form=-n	aanwijzend voornaamwoord, uitgang -n	VNW(aanw,form=-n)	
415	PD(type=dem,inflection=r/re)	pos=VNW,feat.vwtype=aanw,feat.form=-r/-re	aanwijzend voornaamwoord, uitgang -r/-re	VNW(aanw,form=-r/-re)	
416	PD(type=dem,inflection=a)	pos=VNW,feat.vwtype=aanw,feat.form=-a	aanwijzend voornaamwoord, uitgang -a	VNW(aanw,form=-a)	
419	PD(type=dem,inflection=other)	pos=VNW,feat.vwtype=aanw	aanwijzend voornaamwoord, uitgang latijn, onduidelijk of evident fout geschreven	VNW(aanw,form=other)	
420	PD(type=rel,inflection=0)	pos=VNW,feat.vwtype=betr	betrekkelijk voornaamwoord, geen uitgang	VNW(betr,form=0)	
421	PD(type=rel,inflection=e)	pos=VNW,feat.vwtype=betr,feat.form=-e	betrekkelijk voornaamwoord, uitgang -e	VNW(betr,form=-e)	
422	PD(type=rel,inflection=s/th)	pos=VNW,feat.vwtype=betr,feat.form=-s/-th	betrekkelijk voornaamwoord, uitgang -s/-th	VNW(betr,form=-s/-th)	
423	PD(type=rel,inflection=t)	pos=VNW,feat.vwtype=betr,feat.form=-t	betrekkelijk voornaamwoord, uitgang -t	VNW(betr,form=-t)	
424	PD(type=rel,inflection=n)	pos=VNW,feat.vwtype=betr,feat.form=-n	betrekkelijk voornaamwoord, uitgang -n	VNW(betr,form=-n)	
425	PD(type=rel,inflection=r/re)	pos=VNW,feat.vwtype=betr,feat.form=-r/-re	betrekkelijk voornaamwoord, uitgang -r/-re	VNW(betr,form=-r/-re)	
426	PD(type=rel,inflection=a)	pos=VNW,feat.vwtype=betr,feat.form=-a	betrekkelijk voornaamwoord, uitgang -a	VNW(betr,form=-a)	
429	PD(type=rel,inflection=other)	pos=VNW,feat.vwtype=betr	betrekkelijk voornaamwoord, uitgang latijn, onduidelijk of evident fout geschreven	VNW(betr,form=other)	
430	PD(type=int,inflection=0)	pos=VNW,feat.vwtype=vb	vragend voornaamwoord, geen uitgang	VNW(vb,form=0)	
431	PD(type=int,inflection=e)	pos=VNW,feat.vwtype=vb,feat.form=-e	vragend voornaamwoord, uitgang -e	VNW(vb,form=-e)	
432	PD(type=int,inflection=s/th)	pos=VNW,feat.vwtype=vb,feat.form=-s/-th	vragend voornaamwoord, uitgang -s/-th	VNW(vb,form=-s/-th)	
433	PD(type=int,inflection=t)	pos=VNW,feat.vwtype=vb,feat.form=-t	vragend voornaamwoord, uitgang -t	VNW(vb,form=-t)	
434	PD(type=int,inflection=n)	pos=VNW,feat.vwtype=vb,feat.form=-n	vragend voornaamwoord, uitgang -n	VNW(vb,form=-n)	
435	PD(type=int,inflection=r/re)	pos=VNW,feat.vwtype=vb,feat.form=-r/-re	vragend voornaamwoord, uitgang -r/-re	VNW(vb,form=-r/-re)	
436	PD(type=int,inflection=a)	pos=VNW,feat.vwtype=vb,feat.form=-a	vragend voornaamwoord, uitgang -a	VNW(vb,form=-a)	
439	PD(type=int,inflection=other)	pos=VNW,feat.vwtype=vb	vragend voornaamwoord, uitgang latijn, onduidelijk of evident fout geschreven	VNW(vb,form=other)	
440	PD(type=indef,inflection=0)	pos=VNW,feat.lwtype=onbep	onbepaald voornaamwoord, geen uitgang	VNW(onbep,form=0)	
441	PD(type=indef,inflection=e)	pos=VNW,feat.vwtype=vb,feat.lwtype=onbep,feat.form=-e	onbepaald voornaamwoord, uitgang -e	VNW(onbep,form=-e)	
442	PD(type=indef,inflection=s/th)	pos=VNW,feat.vwtype=vb,feat.lwtype=onbep,feat.form=-s/-th	onbepaald voornaamwoord, uitgang -s/-th	VNW(onbep,form=-s/-th)	
443	PD(type=indef,inflection=t)	pos=VNW,feat.vwtype=vb,feat.lwtype=onbep,feat.form=-t	onbepaald voornaamwoord, uitgang -t	VNW(onbep,form=-t)	
444	PD(type=indef,inflection=n)	pos=VNW,feat.vwtype=vb,feat.lwtype=onbep,feat.form=-n	onbepaald voornaamwoord, uitgang -n	VNW(onbep,form=-n)	
445	PD(type=indef,inflection=r/re)	pos=VNW,feat.vwtype=vb,feat.lwtype=onbep,feat.form=-r/-re	onbepaald voornaamwoord, uitgang -r/-re	VNW(onbep,form=-r/-re)	
446	PD(type=indef,inflection=a)	pos=VNW,feat.vwtype=vb,feat.lwtype=onbep,feat.form=-a	onbepaald voornaamwoord, uitgang -a	VNW(onbep,form=-a)	
449	PD(type=indef,inflection=other)	pos=VNW,feat.vwtype=vb,feat.lwtype=onbep	onbepaald voornaamwoord, uitgang latijn, onduidelijk of evident fout geschreven	VNW(onbep,form=other)	
450	PD(type=poss,inflection=0)	pos=VNW,feat.vwtype=bez	bezittelijk voornaamwoord, geen uitgang	VNW(bez,form=0)	
451	PD(type=poss,inflection=e)	pos=VNW,feat.vwtype=bez,feat.form=-e	bezittelijk voornaamwoord, uitgang -e	VNW(bez,form=-e)	
452	PD(type=poss,inflection=s/th)	pos=VNW,feat.vwtype=bez,feat.form=-s/-th	bezittelijk voornaamwoord, uitgang -s/-th	VNW(bez,form=-s/-th)	
453	PD(type=poss,inflection=t)	pos=VNW,feat.vwtype=bez,feat.form=-t	bezittelijk voornaamwoord, uitgang -t	VNW(bez,form=-t)	
454	PD(type=poss,inflection=n)	pos=VNW,feat.vwtype=bez,feat.form=-n	bezittelijk voornaamwoord, uitgang -n	VNW(bez,form=-n)	
455	PD(type=poss,inflection=r/re)	pos=VNW,feat.vwtype=bez,feat.form=-r/-re	bezittelijk voornaamwoord, uitgang -r/-re	VNW(bez,form=-r/-re)	
456	PD(type=poss,inflection=a)	pos=VNW,feat.vwtype=bez,feat.form=-a	bezittelijk voornaamwoord, uitgang -a	VNW(bez,form=-a)	
459	PD(type=poss,inflection=other)	pos=VNW,feat.vwtype=bez	bezittelijk voornaamwoord, uitgang latijn, onduidelijk of evident fout geschreven	VNW(bez,form=other)	
460	PD(type=refl/recp)	_	wederkerend/wederkerig voornaamwoord	VNW(refl/recip)	
461	PD(type=refl/recp,person=1,number=sg)	pos=VNW,feat.vwtype=refl,feat.getal=ev,feat.persoon=1	wederkerend/wederkerig voornaamwoord, 1e persoon enkelvoud	VNW(refl/recip,1,ev)	
462	PD(type=refl/recp,person=2,number=sg)	pos=VNW,feat.vwtype=refl,feat.getal=ev,feat.persoon=2	wederkerend/wederkerig voornaamwoord, 2e persoon enkelvoud	VNW(refl/recip,2,ev)	
463	PD(type=refl/recp,person=3,number=sg)	pos=VNW,feat.vwtype=refl,feat.getal=ev,feat.persoon=3	wederkerend/wederkerig voornaamwoord, 3e persoon enkelvoud	VNW(refl/recip,3,ev)	
464	PD(type=refl/recp,person=1,number=pl)	pos=VNW,feat.vwtype=refl,feat.getal=mv,feat.persoon=1	wederkerend/wederkerig voornaamwoord, 1e persoon meervoud	VNW(refl/recip,1,mv)
465	PD(type=refl/recp,person=2,number=pl)	pos=VNW,feat.vwtype=refl,feat.getal=mv,feat.persoon=2	wederkerend/wederkerig voornaamwoord, 2e persoon meervoud	VNW(refl/recip,2,mv)
466	PD(type=refl/recp,person=3,number=pl)	pos=VNW,feat.vwtype=refl,feat.getal=mv,feat.persoon=3	wederkerend/wederkerig voornaamwoord, 3e persoon meervoud	VNW(refl/recip,3,mv)
469	PD(type=refl/recp,other)	pos=VNW,feat.vwtype=refl,feat.probleemgeval=true	probleemgeval	VNW(refl/recip,probleem=true)	
470	PD(type=art,subtype=def,inflection=0)	pos=LID	bepaald lidwoord, geen uitgang	LID(bep,form=0)	
471	PD(type=art,subtype=def,inflection=e)	pos=LID,feat.form=-e	bepaald lidwoord, uitgang -e	LID(bep,form=-e)	
472	PD(type=art,subtype=def,inflection=s/th)	pos=LID,feat.form=-s/-th	bepaald lidwoord, uitgang -s/-th	LID(bep,form=-s/-th)	
473	PD(type=art,subtype=def,inflection=t)	pos=LID,feat.form=-t	bepaald lidwoord, uitgang -t	LID(bep,form=-t)	
474	PD(type=art,subtype=def,inflection=n)	pos=LID,feat.form=-n	bepaald lidwoord, uitgang -n	LID(bep,form=-n)	
475	PD(type=art,subtype=def,inflection=r/re)	pos=LID,feat.form=-r/-re	bepaald lidwoord, uitgang -r/-re	LID(bep,form=-r/-re)	
476	PD(type=art,subtype=def,inflection=a)	pos=LID,feat.form=-a	bepaald lidwoord, uitgang -a	LID(bep,form=-a)	
479	PD(type=art,subtype=def,inflection=other)	pos=LID	bepaald lidwoord, uitgang latijn, onduidelijk of evident fout geschreven	LID(bep,form=other)	
480	PD(type=art,subtype=indef,inflection=0)	pos=LID	onbepaald lidwoord, geen uitgang	LID(onbep,form=0)	
481	PD(type=art,subtype=indef,inflection=e)	pos=LID,feat.form=-e	onbepaald lidwoord, uitgang -e	LID(onbep,form=-e)	
482	PD(type=art,subtype=indef,inflection=s/th)	pos=LID,feat.form=-s/-th	onbepaald lidwoord, uitgang -s/-th	LID(onbep,form=-s/-th)	
483	PD(type=art,subtype=indef,inflection=t)	pos=LID,feat.form=-t	onbepaald lidwoord, uitgang -t	LID(onbep,form=-t)	
484	PD(type=art,subtype=indef,inflection=n)	pos=LID,feat.form=-n	onbepaald lidwoord, uitgang -n	LID(onbep,form=-n)	
485	PD(type=art,subtype=indef,inflection=r/re)	pos=LID,feat.form=-r/-re	onbepaald lidwoord, uitgang -r/-re	LID(onbep,form=-r/-re)	
486	PD(type=art,subtype=indef,inflection=a)	pos=LID,feat.form=-a	onbepaald lidwoord, uitgang -a	LID(onbep,form=-a)	
489	PD(type=art,subtype=indef,inflection=other)	pos=LID	onbepaald lidwoord, uitgang latijn, onduidelijk of evident fout geschreven	LID(onbep,form=other)	
490	PD(type=other,inflection=0)	pos=VNW,feat.probleemgeval=true	voornaamwoord probleemgeval, geen uitgang	VNW(probleem=true,form=0)	
491	PD(type=other,inflection=e)	pos=VNW,feat.probleemgeval=true,feat.form=-e	voornaamwoord probleemgeval, uitgang -e	VNW(probleem=true,form=-e)	
492	PD(type=other,inflection=s/th)	pos=VNW,feat.probleemgeval=true,feat.form=-s/-th	voornaamwoord probleemgeval, uitgang -s/-th	VNW(probleem=true,form=-s/-th)	
493	PD(type=other,inflection=t)	pos=VNW,feat.probleemgeval=true,feat.form=-t	voornaamwoord probleemgeval, uitgang -t	VNW(probleem=true,form=-t)	
494	PD(type=other,inflection=n)	pos=VNW,feat.probleemgeval=true,feat.form=-n	voornaamwoord probleemgeval, uitgang -n	VNW(probleem=true,form=-n)	
495	PD(type=other,inflection=r/re)	pos=VNW,feat.probleemgeval=true,feat.form=-r/-re	voornaamwoord probleemgeval, uitgang -r/-re	VNW(probleem=true,form=-r/-re)	
496	PD(type=other,inflection=a)	pos=VNW,feat.probleemgeval=true,feat.form=-a	voornaamwoord probleemgeval, uitgang -a	VNW(probleem=true,form=-a)	
499	PD(type=other,inflection=other)	pos=VNW,feat.probleemgeval=true	voornaamwoord probleemgeval, uitgang latijn, onduidelijk of evident fout geschreven	VNW(probleem=true,form=other)	
500	ADV(type=general,inflection=0)	pos=BW	bijwoord, geen uitgang	BW(alg,form=0)	
501	ADV(type=general,inflection=e)	pos=BW,feat.form=-e	bijwoord, uitgang -e	BW(alg,form=-e)	
502	ADV(type=general,inflection=s/th)	pos=BW,feat.form=-s/-th	bijwoord, uitgang -s/-th	BW(alg,form=-s/-th)	
503	ADV(type=general,inflection=t)	pos=BW,feat.form=-t	bijwoord, uitgang -t	BW(alg,form=-t)	
504	ADV(type=general,inflection=n)	pos=BW,feat.form=-n	bijwoord, uitgang -n	BW(alg,form=-n)	
505	ADV(type=general,inflection=r/re)	pos=BW,feat.form=-r/-re	bijwoord, uitgang -r/-re	BW(alg,form=-r/-re)	
506	ADV(type=general,inflection=a)	pos=BW,feat.form=-a	bijwoord, uitgang -a	BW(alg,form=-a)	
509	ADV(type=general,inflection=other)	pos=BW	bijwoord, uitgang latijn, onduidelijk of evident fout geschreven	BW(alg,form=other)	
510	ADV(type=dem,inflection=0)	pos=BW	aanwijzend bijwoord, geen uitgang	BW(aanw,form=0)	
511	ADV(type=dem,inflection=e)	pos=BW,feat.form=-e	aanwijzend bijwoord, uitgang -e	BW(aanw,form=-e)	
512	ADV(type=dem,inflection=s/th)	pos=BW,feat.form=-s/-th	aanwijzend bijwoord, uitgang -s/-th	BW(aanw,form=-s/-th)	
513	ADV(type=dem,inflection=t)	pos=BW,feat.form=-t	aanwijzend bijwoord, uitgang -t	BW(aanw,form=-t)	
514	ADV(type=dem,inflection=n)	pos=BW,feat.form=-n	aanwijzend bijwoord, uitgang -n	BW(aanw,form=-n)	
515	ADV(type=dem,inflection=r/re)	pos=BW,feat.form=-r/-re	aanwijzend bijwoord, uitgang -r/-re	BW(aanw,form=-r/-re)	
516	ADV(type=dem,inflection=a)	pos=BW,feat.form=-a	aanwijzend bijwoord, uitgang -a	BW(aanw,form=-a)	
519	ADV(type=dem,inflection=other)	pos=BW	aanwijzend bijwoord, uitgang latijn, onduidelijk of evident fout geschreven	BW(aanw,form=other)	
520	ADV(type=rel,inflection=0)	pos=BW	betrekkelijk bijwoord, geen uitgang	BW(betr,form=0)	
521	ADV(type=rel,inflection=e)	pos=BW,feat.form=-e	betrekkelijk bijwoord, uitgang -e	BW(betr,form=-e)	
522	ADV(type=rel,inflection=s/th)	pos=BW,feat.form=-s/-th	betrekkelijk bijwoord, uitgang -s/-th	BW(betr,form=-s/-th)	
523	ADV(type=rel,inflection=t)	pos=BW,feat.form=-t	betrekkelijk bijwoord, uitgang -t	BW(betr,form=-t)	
524	ADV(type=rel,inflection=n)	pos=BW,feat.form=-n	betrekkelijk bijwoord, uitgang -n	BW(betr,form=-n)	
525	ADV(type=rel,inflection=r/re)	pos=BW,feat.form=-r/-re	betrekkelijk bijwoord, uitgang -r/-re	BW(betr,form=-r/-re)	
526	ADV(type=rel,inflection=a)	pos=BW,feat.form=-a	betrekkelijk bijwoord, uitgang -a	BW(betr,form=-a)	
529	ADV(type=rel,inflection=other)	pos=BW	betrekkelijk bijwoord, uitgang latijn, onduidelijk of evident fout geschreven	BW(betr,form=other)	
530	ADV(type=int,inflection=0)	pos=BW	vragend bijwoord, geen uitgang	BW(vrag,form=0)	
531	ADV(type=int,inflection=e)	pos=BW,feat.form=-e	vragend bijwoord, uitgang -e	BW(vrag,form=-e)	
532	ADV(type=int,inflection=s/th)	pos=BW,feat.form=-s/-th	vragend bijwoord, uitgang -s/-th	BW(vrag,form=-e)	
533	ADV(type=int,inflection=t)	pos=BW,feat.form=-t	vragend bijwoord, uitgang -t	BW(vrag,form=-e)	
534	ADV(type=int,inflection=n)	pos=BW,feat.form=-n	vragend bijwoord, uitgang -n	BW(vrag,form=-e)	
535	ADV(type=int,inflection=r/re)	pos=BW,feat.form=-r/-re	vragend bijwoord, uitgang -r/-re	BW(vrag,form=-e)	
536	ADV(type=int,inflection=a)	pos=BW,feat.form=-a	vragend bijwoord, uitgang -a	BW(vrag,form=-a)	
539	ADV(type=int,inflection=other)	pos=BW	vragend bijwoord, uitgang latijn, onduidelijk of evident fout geschreven	BW(vrag,form=other)	
540	ADV(type=indef,inflection=0)	pos=BW	onbepaald bijwoord, geen uitgang	BW(onbep,form=0)	
541	ADV(type=indef,inflection=e)	pos=BW,feat.form=-e	onbepaald bijwoord, uitgang -e	BW(onbep,form=-e)	
542	ADV(type=indef,inflection=s/th)	pos=BW,feat.form=-s/-th	onbepaald bijwoord, uitgang -s/-th	BW(onbep,form=-s/-th)	
543	ADV(type=indef,inflection=t)	pos=BW,feat.form=-t	onbepaald bijwoord, uitgang -t	BW(onbep,form=-t)	
544	ADV(type=indef,inflection=n)	pos=BW,feat.form=-n	onbepaald bijwoord, uitgang -n	BW(onbep,form=-n)	
545	ADV(type=indef,inflection=r/re)	pos=BW,feat.form=-r/-re	onbepaald bijwoord, uitgang -r/-re	BW(onbep,form=-r/-re)	
546	ADV(type=indef,inflection=a)	pos=BW,feat.form=-a	onbepaald bijwoord, uitgang -a	BW(onbep,form=-a)	
549	ADV(type=indef,inflection=other)	pos=BW	onbepaald bijwoord, uitgang latijn, onduidelijk of evident fout geschreven	BW(onbep,form=other)	
550	ADV(type=resumptive,inflection=0)	pos=BW	hervattend bijwoord, geen uitgang	BW(herv,form=0)	
551	ADV(type=resumptive,inflection=e)	pos=BW,feat.form=-e	hervattend bijwoord, uitgang -e	BW(herv,form=-e)	
552	ADV(type=resumptive,inflection=s/th)	pos=BW,feat.form=-s/-th	hervattend bijwoord, uitgang -s/-th	BW(herv,form=-s/-th)	
553	ADV(type=resumptive,inflection=t)	pos=BW,feat.form=-t	hervattend bijwoord, uitgang -t	BW(herv,form=-t)	
554	ADV(type=resumptive,inflection=n)	pos=BW,feat.form=-n	hervattend bijwoord, uitgang -n	BW(herv,form=-n)	
555	ADV(type=resumptive,inflection=r/re)	pos=BW,feat.form=-r/-re	hervattend bijwoord, uitgang -r/-re	BW(herv,form=-r/-re)	
556	ADV(type=resumptive,inflection=a)	pos=BW,feat.form=-a	hervattend bijwoord, uitgang -a	BW(herv,form=-a)	
559	ADV(type=resumptive,inflection=other)	pos=BW	hervattend bijwoord, uitgang latijn, onduidelijk of evident fout geschreven	BW(herv,form=other)	
560	ADV(type=negative,inflection=0)	pos=BW	ontkennend bijwoord, geen uitgang	BW(neg,form=0)	
561	ADV(type=negative,inflection=e)	pos=BW,feat.form=-e	ontkennend bijwoord, uitgang -e	BW(neg,form=-e)	
562	ADV(type=negative,inflection=s/th)	pos=BW,feat.form=-s/-th	ontkennend bijwoord, uitgang -s/-th	BW(neg,form=-s/-th)	
563	ADV(type=negative,inflection=t)	pos=BW,feat.form=-t	ontkennend bijwoord, uitgang -t	BW(neg,form=-t)	
564	ADV(type=negative,inflection=n)	pos=BW,feat.form=-n	ontkennend bijwoord, uitgang -n	BW(neg,form=-n)	
565	ADV(type=negative,inflection=r/re)	pos=BW,feat.form=-r/-re	ontkennend bijwoord, uitgang -r/-re	BW(neg,form=-r/-re)	
566	ADV(type=negative,inflection=a)	pos=BW,feat.form=-a	ontkennend bijwoord, uitgang -a	BW(neg,form=-a)	
569	ADV(type=negative,inflection=other)	pos=BW	ontkennend bijwoord, uitgang latijn, onduidelijk of evident fout geschreven	BW(neg,form=other)	
590	ADV(type=other,inflection=0)	pos=BW,feat.probleemgeval=true	bijwoord probleemgeval, geen uitgang	BW(probleem=true,form=0)	
591	ADV(type=other,inflection=e)	pos=BW,feat.probleemgeval=true,feat.form=-e	bijwoord probleemgeval, uitgang -e	BW(probleem=true,form=-e)	
592	ADV(type=other,inflection=s/th)	pos=BW,feat.probleemgeval=true,feat.form=-s/-th	bijwoord probleemgeval, uitgang -s/-th	BW(probleem=true,form=-s/-th)	
593	ADV(type=other,inflection=t)	pos=BW,feat.probleemgeval=true,feat.form=-t	bijwoord probleemgeval, uitgang -t	BW(probleem=true,form=-t)	
594	ADV(type=other,inflection=n)	pos=BW,feat.probleemgeval=true,feat.form=-n	bijwoord probleemgeval, uitgang -n	BW(probleem=true,form=-n)	
595	ADV(type=other,inflection=r/re)	pos=BW,feat.probleemgeval=true,feat.form=-r/-re	bijwoord probleemgeval, uitgang -r/-re	BW(probleem=true,form=-r/-re)	
596	ADV(type=other,inflection=a)	pos=BW,feat.probleemgeval=true,feat.form=-a	bijwoord probleemgeval, uitgang -a	BW(probleem=true,form=-a)	
599	ADV(type=other,inflection=other)	pos=BW,feat.probleemgeval=true	bijwoord probleemgeval, uitgang latijn, onduidelijk of evident fout geschreven	BW(probleem=true,form=other)	
600	ADV(advType=pronominal,type=general,inflection=0)	pos=BW	voornaamwoordelijk bijwoord, geen uitgang	BW(adv-pron,alg,form=0)	
601	ADV(advType=pronominal,type=general,inflection=e)	pos=BW,feat.form=-e	voornaamwoordelijk bijwoord, uitgang -e	BW(adv-pron,alg,form=-e)	
602	ADV(advType=pronominal,type=general,inflection=s/th)	pos=BW,feat.form=-s/-th	voornaamwoordelijk bijwoord, uitgang -s/-th	BW(adv-pron,alg,form=-s/-th)	
603	ADV(advType=pronominal,type=general,inflection=t)	pos=BW,feat.form=-t	voornaamwoordelijk bijwoord, uitgang -t	BW(adv-pron,alg,form=-t)	
604	ADV(advType=pronominal,type=general,inflection=n)	pos=BW,feat.form=-n	voornaamwoordelijk bijwoord, uitgang -n	BW(adv-pron,alg,form=-n)	
605	ADV(advType=pronominal,type=general,inflection=r/re)	pos=BW,feat.form=-r/-re	voornaamwoordelijk bijwoord, uitgang -r/-re	BW(adv-pron,alg,form=-r/-re)	
606	ADV(advType=pronominal,type=general,inflection=a)	pos=BW,feat.form=-a	voornaamwoordelijk bijwoord, uitgang -a	BW(adv-pron,alg,form=-a)	
609	ADV(advType=pronominal,type=general,inflection=other)	pos=BW	voornaamwoordelijk bijwoord, uitgang latijn, onduidelijk of evident fout geschreven	BW(adv-pron,alg,form=other)	
610	ADV(advType=pronominal,type=dem,inflection=0)	pos=BW	aanwijzend voornaamwoordelijk bijwoord, geen uitgang	BW(adv-pron,aanw,form=0)	
611	ADV(advType=pronominal,type=dem,inflection=e)	pos=BW,feat.form=-e	aanwijzend voornaamwoordelijk bijwoord, uitgang -e	BW(adv-pron,aanw,form=-e)	
612	ADV(advType=pronominal,type=dem,inflection=s/th)	pos=BW,feat.form=-s/-th	aanwijzend voornaamwoordelijk bijwoord, uitgang -s/-th	BW(adv-pron,aanw,form=-s/-th)	
613	ADV(advType=pronominal,type=dem,inflection=t)	pos=BW,feat.form=-t	aanwijzend voornaamwoordelijk bijwoord, uitgang -t	BW(adv-pron,aanw,form=-t)	
614	ADV(advType=pronominal,type=dem,inflection=n)	pos=BW,feat.form=-n	aanwijzend voornaamwoordelijk bijwoord, uitgang -n	BW(adv-pron,aanw,form=-n)	
615	ADV(advType=pronominal,type=dem,inflection=r/re)	pos=BW,feat.form=-r/-re	aanwijzend voornaamwoordelijk bijwoord, uitgang -r/-re	BW(adv-pron,aanw,form=-r/-re)	
616	ADV(advType=pronominal,type=dem,inflection=a)	pos=BW,feat.form=-a	aanwijzend voornaamwoordelijk bijwoord, uitgang -a	BW(adv-pron,aanw,form=-a)	
619	ADV(advType=pronominal,type=dem,inflection=other)	pos=BW	aanwijzend voornaamwoordelijk bijwoord, uitgang latijn, onduidelijk of evident fout geschreven	BW(adv-pron,aanw,form=other)	
620	ADV(advType=pronominal,type=rel,inflection=0)	pos=BW	betrekkelijk voornaamwoordelijk bijwoord, geen uitgang	BW(adv-pron,betr,form=0)	
621	ADV(advType=pronominal,type=rel,inflection=e)	pos=BW,feat.form=-e	betrekkelijk voornaamwoordelijk bijwoord, uitgang -e	BW(adv-pron,betr,form=-e)	
622	ADV(advType=pronominal,type=rel,inflection=s/th)	pos=BW,feat.form=-s/-th	betrekkelijk voornaamwoordelijk bijwoord, uitgang -s/-th	BW(adv-pron,betr,form=-s/-th)	
623	ADV(advType=pronominal,type=rel,inflection=t)	pos=BW,feat.form=-t	betrekkelijk voornaamwoordelijk bijwoord, uitgang -t	BW(adv-pron,betr,form=-t)	
624	ADV(advType=pronominal,type=rel,inflection=n)	pos=BW,feat.form=-n	betrekkelijk voornaamwoordelijk bijwoord, uitgang -n	BW(adv-pron,betr,form=-n)	
625	ADV(advType=pronominal,type=rel,inflection=r/re)	pos=BW,feat.form=-r/-re	betrekkelijk voornaamwoordelijk bijwoord, uitgang -r/-re	BW(adv-pron,betr,form=-r/-re)	
626	ADV(advType=pronominal,type=rel,inflection=a)	pos=BW,feat.form=-a	betrekkelijk voornaamwoordelijk bijwoord, uitgang -a	BW(adv-pron,betr,form=-a)	
